Date,Close,High,Low,Open,Volume
1/2/2015,1186,1194.5,1169.5,1184,138
1/5/2015,1203.900024,1206.900024,1180.099976,1180.300049,470
1/6/2015,1219.300049,1220,1203.5,1203.5,97
1/7/2015,1210.599976,1219.199951,1210.599976,1219.199951,29
1/8/2015,1208.400024,1215.699951,1206.300049,1207,92
1/9/2015,1216,1220.199951,1210.300049,1211.099976,43
1/12/2015,1232.699951,1234.400024,1219.099976,1224.199951,100
1/13/2015,1234.300049,1239.300049,1230.300049,1239.199951,20
1/14/2015,1234.400024,1243.800049,1225.599976,1229.599976,21
1/15/2015,1264.699951,1265,1227.300049,1231.5,130
1/16/2015,1276.900024,1279.699951,1256.099976,1256.099976,44
1/20/2015,1294.199951,1297.300049,1273.800049,1278.900024,157
1/21/2015,1293.699951,1303.5,1286.699951,1295.199951,78
1/22/2015,1300.699951,1302.099976,1283.5,1293.199951,131
1/23/2015,1292.599976,1299.800049,1292.599976,1299.800049,23
1/26/2015,1279.400024,1290.599976,1279.400024,1289.5,26
1/27/2015,1291.699951,1291.699951,1277.199951,1277.199951,20
1/28/2015,1285.900024,1286.800049,1285.900024,1285.900024,180387
1/29/2015,1254.599976,1285.400024,1251,1283.300049,67983
1/30/2015,1278.5,1284.300049,1257,1258,8626
2/2/2015,1276.199951,1284.099976,1266,1284.099976,1654
2/3/2015,1259.699951,1284.699951,1255.300049,1273.5,2380
2/4/2015,1263.800049,1271.599976,1256.800049,1262,668
2/5/2015,1262,1272.599976,1257.800049,1271.800049,133
2/6/2015,1233.900024,1267.599976,1228,1265,432
2/9/2015,1240.800049,1242.300049,1235.400024,1237.5,319
2/10/2015,1231.599976,1245,1231.199951,1237.5,231
2/11/2015,1219,1237.400024,1219,1233.300049,102
2/12/2015,1220.099976,1229.800049,1217.900024,1217.900024,99
2/13/2015,1226.5,1232.800049,1222.199951,1222.199951,65
2/17/2015,1208.099976,1234,1203,1227.699951,204
2/18/2015,1199.699951,1210.199951,1197.800049,1207.099976,147
2/19/2015,1207.099976,1220,1205,1216.5,65
2/20/2015,1204.400024,1213.099976,1199.099976,1206.5,51
2/23/2015,1200.300049,1203.300049,1191.599976,1201.300049,268
2/24/2015,1196.900024,1203.5,1193.800049,1203.400024,151
2/25/2015,1201,1204.599976,1201,1204.300049,570
2/26/2015,1209.599976,1219,1204.800049,1204.800049,560
2/27/2015,1212.599976,1217.800049,1204.5,1207.699951,195
3/2/2015,1207.699951,1222.699951,1204.900024,1214.300049,124
3/3/2015,1204,1212,1195,1201.5,51
3/4/2015,1200.599976,1206.900024,1198,1204.800049,27
3/5/2015,1195.900024,1205.400024,1195.900024,1201.699951,29
3/6/2015,1164.099976,1195.699951,1163.699951,1195,168
3/9/2015,1166.400024,1174.199951,1166.300049,1169.400024,45
3/10/2015,1160.099976,1168.400024,1156.5,1166.400024,94
3/11/2015,1150.699951,1162,1147.699951,1162,74
3/12/2015,1152.099976,1160.5,1149.699951,1155.400024,63
3/13/2015,1152.599976,1159.199951,1152.599976,1158.199951,44
3/16/2015,1153.300049,1162.300049,1150.099976,1159.699951,56
3/17/2015,1148.300049,1158.199951,1144.300049,1153.599976,71
3/18/2015,1151.400024,1174.300049,1147,1148.699951,112
3/19/2015,1169.099976,1171.599976,1159.300049,1171.599976,39
3/20/2015,1184.800049,1185.400024,1171,1171,54
3/23/2015,1188,1188,1181.199951,1181.599976,5
3/24/2015,1191.699951,1193,1186,1188,411
3/25/2015,1197.300049,1199.199951,1192.5,1192.5,11
3/26/2015,1205.099976,1213.699951,1198.199951,1198.199951,68
3/27/2015,1199.800049,1199.800049,1196.300049,1197,172260
3/30/2015,1184.800049,1198.5,1181.599976,1198,37990
3/31/2015,1183.099976,1190.099976,1178.199951,1185.800049,3409
4/1/2015,1208.099976,1208.199951,1181,1182.900024,1632
4/2/2015,1200.900024,1205.699951,1194.800049,1204,1684
4/6/2015,1218.599976,1224.199951,1209.900024,1209.900024,343
4/7/2015,1210.599976,1214.800049,1208.199951,1214.800049,406
4/8/2015,1203.099976,1211.400024,1197.599976,1208.900024,236
4/9/2015,1193.599976,1202.5,1193,1201.699951,521
4/10/2015,1204.599976,1209.599976,1195.800049,1195.800049,202
4/13/2015,1199.300049,1208.099976,1198.300049,1208.099976,424
4/14/2015,1192.800049,1200.599976,1184.099976,1198.800049,546
4/15/2015,1201.5,1203.099976,1188.599976,1194.599976,196
4/16/2015,1198,1208.5,1194.599976,1204.300049,199
4/17/2015,1202.900024,1206,1200.199951,1200.199951,21
4/20/2015,1193.5,1206.900024,1191,1205.699951,67
4/21/2015,1202.900024,1202.900024,1192.800049,1193.199951,33
4/22/2015,1186.900024,1202.599976,1185.199951,1199.099976,93
4/23/2015,1194.400024,1197,1186.099976,1187.199951,331
4/24/2015,1175.199951,1194.699951,1174.599976,1192.300049,52
4/27/2015,1203.300049,1206.699951,1181.400024,1182.300049,194
4/28/2015,1214,1214,1199.699951,1199.699951,401
4/29/2015,1209.800049,1212.599976,1201.900024,1211.199951,114
4/30/2015,1182.400024,1205.900024,1176.699951,1203.099976,143
5/1/2015,1174.5,1178.099976,1170,1178.099976,23
5/4/2015,1186.800049,1189.400024,1177.5,1177.5,38
5/5/2015,1193.199951,1198.699951,1186.900024,1187.5,48
5/6/2015,1190.300049,1194.599976,1189.900024,1194.5,14
5/7/2015,1182.400024,1186,1179.699951,1181.5,44
5/8/2015,1189.099976,1189.099976,1182.900024,1183.300049,51
5/11/2015,1183.199951,1190.5,1179.300049,1189.699951,26
5/12/2015,1192.599976,1194.800049,1189.699951,1194.599976,10
5/13/2015,1218.400024,1218.400024,1191,1192.699951,34
5/14/2015,1225.400024,1225.599976,1214.5,1214.5,35
5/15/2015,1225.5,1225.5,1214.800049,1218.5,12
5/18/2015,1227.800049,1228.099976,1222.599976,1224.5,8
5/19/2015,1206.900024,1223.900024,1206,1223.900024,9
5/20/2015,1208.900024,1210.800049,1205.099976,1205.099976,11
5/21/2015,1204.400024,1204.5,1203.699951,1204.5,43
5/22/2015,1204.300049,1211.900024,1204.300049,1211.599976,8
5/26/2015,1187.199951,1193.599976,1186,1193.599976,40
5/27/2015,1185.900024,1185.900024,1185.900024,1185.900024,200216
5/28/2015,1188.099976,1192,1179.599976,1187.099976,52705
5/29/2015,1189.400024,1193.300049,1185.699951,1187.800049,4748
6/1/2015,1188.300049,1204,1184.300049,1190.599976,1236
6/2/2015,1194.099976,1194.300049,1186,1189,1003
6/3/2015,1184.699951,1193.900024,1179.099976,1193.900024,630
6/4/2015,1174.900024,1185.300049,1173,1184.900024,447
6/5/2015,1167.800049,1177.300049,1164,1176.400024,390
6/8/2015,1173.199951,1176.099976,1169.099976,1169.5,173
6/9/2015,1177.300049,1180.300049,1172.699951,1172.900024,144
6/10/2015,1186.099976,1190.099976,1175.599976,1176.099976,295
6/11/2015,1179.900024,1183.199951,1174.400024,1183.199951,69
6/12/2015,1178.800049,1181.199951,1176.199951,1180.400024,141
6/15/2015,1185.300049,1188.5,1172.699951,1179.900024,102
6/16/2015,1180.5,1186.5,1175.900024,1186.5,29
6/17/2015,1176.400024,1186.300049,1174.900024,1177.599976,168
6/18/2015,1201.5,1202,1183.400024,1183.400024,130
6/19/2015,1201.5,1203.099976,1199.699951,1199.699951,142
6/22/2015,1183.699951,1197.800049,1182.699951,1197.800049,30
6/23/2015,1176.199951,1186,1176.199951,1183.800049,60
6/24/2015,1172.599976,1176.599976,1170.699951,1176.599976,263
6/25/2015,1171.5,1175.900024,1171.5,1175.800049,95
6/26/2015,1172.900024,1172.900024,1170.5,1170.5,308
6/29/2015,1178.5,1186,1173.800049,1185.099976,174
6/30/2015,1171.5,1176.400024,1166.599976,1176.300049,223
7/1/2015,1169,1173.099976,1166.599976,1173.099976,455
7/2/2015,1163,1168.099976,1155.5,1166.400024,316
7/6/2015,1172.900024,1173,1162.199951,1171.099976,634
7/7/2015,1152.400024,1166.800049,1149.5,1166.800049,469
7/8/2015,1163.300049,1163.300049,1146.400024,1152.599976,65
7/9/2015,1159,1163.599976,1154.800049,1154.800049,65
7/10/2015,1157.699951,1161.400024,1157.5,1160.099976,27
7/13/2015,1155.199951,1159,1151.199951,1159,14
7/14/2015,1153.300049,1157.199951,1153,1157.199951,39
7/15/2015,1147.199951,1154,1144.800049,1154,15
7/16/2015,1143.800049,1146.199951,1142.900024,1146.199951,14
7/17/2015,1131.800049,1144,1130.199951,1144,120
7/20/2015,1106.699951,1130.699951,1095.099976,1130.400024,189
7/21/2015,1103.400024,1106.400024,1097.099976,1097.099976,118
7/22/2015,1091.400024,1095,1086,1093,46
7/23/2015,1094,1097.599976,1087.800049,1097.400024,64
7/24/2015,1085.599976,1100.699951,1078.599976,1078.599976,52
7/27/2015,1096.5,1102.5,1093.900024,1100,19
7/28/2015,1096.300049,1097.699951,1096.300049,1097.199951,31
7/29/2015,1092.699951,1096.900024,1092.699951,1096.400024,159142
7/30/2015,1088.400024,1097.5,1081,1096.099976,49298
7/31/2015,1094.900024,1102.800049,1079.099976,1087.699951,5700
8/3/2015,1089.400024,1097.099976,1085,1095.5,2418
8/4/2015,1090.699951,1093.900024,1080.5,1085.099976,1139
8/5/2015,1085.699951,1090.599976,1082.5,1086.5,1207
8/6/2015,1090.199951,1092.199951,1083.599976,1084.400024,269
8/7/2015,1094.099976,1098.300049,1081.699951,1088.900024,614
8/10/2015,1104.199951,1107.599976,1089.5,1093.199951,900
8/11/2015,1107.599976,1116.699951,1094,1103.800049,997
8/12/2015,1123.199951,1124.5,1101.5,1106,797
8/13/2015,1115.699951,1124.300049,1113,1124.300049,441
8/14/2015,1112.900024,1118.800049,1112.5,1113.900024,908
8/17/2015,1118.599976,1122,1113.800049,1113.800049,399
8/18/2015,1117.099976,1118.400024,1110,1118.199951,475
8/19/2015,1128.099976,1134.300049,1116.800049,1117,348
8/20/2015,1153,1153.300049,1132.800049,1132.800049,409
8/21/2015,1159.599976,1166.5,1150.5,1154.099976,261
8/24/2015,1153.400024,1169,1147.5,1164,299
