,Brand,Model,Varient,Manufacture Year,Driven Kilometers,Fuel,Number of Owner,Body Type,Location,Price
0,Maruti,Zen,Estilo LXI,2011,"24,337km",Petrol,First Owner,Hatchback,Delhi,210499.0
1,Maruti,Alto,K10 VXI,2018,"5,198km",Petrol,First Owner,Hatchback,Delhi,343799.0
2,Maruti,Celerio,VXI AMT,2015,"27,739km",Petrol,First Owner,Hatchback,Delhi,371199.0
3,Hyundai,i20,SPORTZ 1.2 VTVT,2014,"25,187km",Petrol,First Owner,Hatchback,Delhi,360099.0
4,Maruti,S,PRESSO VXI PLUS,2020,"7,556km",Petrol,First Owner,Hatchback,Delhi,415999.0
5,Maruti,Swift,ZDI,2013,"24,022km",Diesel,First Owner,Hatchback,Delhi,394199.0
6,Honda,Brio,1.2 VX AT I VTEC,2015,"22,774km",Petrol,First Owner,Hatchback,Delhi,420599.0
7,Maruti,Alto,800 LXI,2017,"8,501km",Petrol,First Owner,Hatchback,Delhi,309499.0
8,Hyundai,Grand,i10 Sportz(O) 1.2 MT,2017,"19,994km",Petrol,Second Owner,Hatchback,Delhi,452899.0
9,Maruti,Alto,K10 LXI,2015,"10,957km",Petrol,First Owner,Hatchback,Delhi,302099.0
10,Maruti,Swift,LXI,2019,"8,997km",Petrol,First Owner,Hatchback,Delhi,515199.0
11,Maruti,Ritz,VDI Elate Limited Edition,2014,"29,959km",Diesel,First Owner,Hatchback,Delhi,379699.0
12,Maruti,Swift,LXI OPT,2017,"15,528km",Petrol,First Owner,Hatchback,Delhi,454399.0
13,Maruti,Swift,VDI,2013,"11,019km",Diesel,First Owner,Hatchback,Delhi,371399.0
14,Maruti,Alto,K10 VXI (O) AMT,2017,"9,036km",Petrol,First Owner,Hatchback,Delhi,360699.0
15,Maruti,Zen,Estilo LXI,2011,"39,300km",Petrol,Second Owner,Hatchback,Delhi,197599.0
16,Maruti,Alto,K10 LXI,2017,"32,669km",Petrol,First Owner,Hatchback,Delhi,271499.0
17,Maruti,Alto,LXI,2010,"29,645km",Petrol,First Owner,Hatchback,Delhi,185299.0
18,Datsun,Redi,Go T (O),2017,"27,979km",Petrol,First Owner,Hatchback,Delhi,202499.0
19,Maruti,Swift,LXI,2012,"31,999km",Petrol,First Owner,Hatchback,Delhi,321499.0
20,Hyundai,i20,MAGNA O 1.2,2013,"39,788km",Petrol,First Owner,Hatchback,Delhi,339799.0
21,Maruti,Alto,800 LXI,2014,"31,745km",Petrol,First Owner,Hatchback,Delhi,258999.0
22,Maruti,Swift,VDI ABS,2017,"16,646km",Diesel,First Owner,Hatchback,Delhi,479299.0
23,Maruti,Swift,ZXI,2012,"15,538km",Petrol,First Owner,Hatchback,Delhi,444699.0
24,Hyundai,Grand,i10 MAGNA 1.2 VTVT,2017,"27,050km",Petrol,First Owner,Hatchback,Delhi,379499.0
25,Honda,Brio,1.2 S MT I VTEC,2012,"39,831km",Petrol,Second Owner,Hatchback,Delhi,281799.0
26,Maruti,Alto,800 LXI,2017,"9,527km",Petrol,First Owner,Hatchback,Delhi,309299.0
27,Renault,Kwid,RXT Opt,2018,"23,811km",Petrol,First Owner,Hatchback,Delhi,294399.0
